Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
0.13150000,0.00000000,0.00000010
0.14350000,0.00000000,0.00000010
0.15550000,0.01371315,0.00000216
0.16750000,0.02248922,0.00000390
0.17950000,0.02206546,0.00000410
0.19150000,0.01500561,0.00000314
0.20350000,0.00387344,0.00000141
0.21550000,0.00000000,0.00000010
0.22750000,0.00000000,0.00000010
0.23950000,0.00000000,0.00000010
0.25150000,0.00325514,0.00000010
0.26350000,0.00000000,0.00000010
0.27550000,0.00000000,0.00000010
0.28750000,0.00000000,0.00000296
0.29950000,0.00194956,0.00003844
0.31150000,0.08902485,0.00007641
0.32350000,0.21820422,0.00012533
0.33550000,0.44782405,0.00019331
0.34750000,0.79174821,0.00027557
0.35950000,0.98636816,0.00034098
0.37150000,1.12830193,0.00039957
0.38350000,1.42390641,0.00042640
0.39550000,1.78488598,0.00044291
0.40750000,1.90766026,0.00044276
0.41950000,2.34390910,0.00043842
0.43150000,2.81898467,0.00043089
0.44350000,3.17355957,0.00044107
0.45550000,3.23321011,0.00042617
0.46750000,3.56792569,0.00045383
0.47950000,4.11290837,0.00044562
0.49150000,4.56655413,0.00049900
0.50350000,5.18443161,0.00052296
0.51550000,5.86177709,0.00060592
0.52750000,6.04193024,0.00063915
0.53950000,6.65123764,0.00067473
0.55150000,6.77942772,0.00069620
0.56350000,7.09076755,0.00071886
0.57550000,7.45716711,0.00070323
0.58750000,8.21359785,0.00069565
0.59950000,8.96194362,0.00073185
0.61150000,9.78847525,0.00077254
0.62350000,10.07484618,0.00084312
0.63550000,10.31256414,0.00088749
0.64750000,10.70433482,0.00090197
0.65950000,11.42652609,0.00093586
0.67150000,11.90796313,0.00100054
0.68350000,12.55557518,0.00108070
0.69550000,13.42882129,0.00116753
0.70750000,14.17962825,0.00123659
0.71950000,14.84443662,0.00135236
0.73150000,16.08266311,0.00155446
0.74350000,17.20319650,0.00172382
0.75550000,17.82564471,0.00187477
0.76750000,18.76391041,0.00199424
0.77950000,19.85707354,0.00211279
0.79150000,20.62455165,0.00224012
0.80350000,21.18603836,0.00233323
0.81550000,21.97623591,0.00240916
0.82750000,24.83276942,0.00242646
0.83950000,27.14484326,0.00246828
0.85150000,29.92566192,0.00257784
0.86350000,33.54114255,0.00272397
0.87550000,38.38274115,0.00289276
0.88750000,42.01521843,0.00317529
0.89950000,47.59350613,0.00357276
0.91150000,53.55723914,0.00406288
0.92350000,56.72686729,0.00466578
0.93550000,63.20262703,0.00515735
0.94750000,68.27905201,0.00567470
0.95950000,74.52622122,0.00617523
0.97150000,81.57748273,0.00668793
0.98350000,89.70056677,0.00714873
0.99550000,99.28184599,0.00759524
1.00750000,111.26560893,0.00808397
1.01950000,121.55119209,0.00855441
1.03150000,130.81296566,0.00904596
1.04350000,138.24311150,0.00962645
1.05550000,147.02138809,0.01021527
1.06750000,153.87067817,0.01083206
1.07950000,160.19487699,0.01147072
1.09150000,165.68730601,0.01200675
1.10350000,167.61354214,0.01253349
1.11550000,169.63382506,0.01288226
1.12750000,174.15852127,0.01310070
1.13950000,177.35439116,0.01328671
1.15150000,180.47943177,0.01346416
1.16350000,181.08428303,0.01353320
1.17550000,185.96951181,0.01359173
1.18750000,188.98465512,0.01374172
1.19950000,195.63560512,0.01388305
1.21150000,199.76810763,0.01404369
1.22350000,199.90793939,0.01435401
1.23550000,204.40141831,0.01486205
1.24750000,207.90944912,0.01536010
1.25950000,211.37530443,0.01592005
1.27150000,215.12708766,0.01641659
1.28350000,216.51822249,0.01693353
1.29550000,217.90876999,0.01742020
1.30750000,221.73736830,0.01782073
1.31950000,224.32918753,0.01823204
1.33150000,228.91012351,0.01868278
1.34350000,227.30516551,0.01905897
1.35550000,228.42995523,0.01940199
1.36750000,227.99359620,0.01979749
1.37950000,229.25097977,0.02023957
1.39150000,231.33406194,0.02062918
1.40350000,231.12970071,0.02079773
1.41550000,226.01437179,0.02098434
1.42750000,229.73384255,0.02120650
1.43950000,225.72556061,0.02131902
1.45150000,223.86589762,0.02129869
1.46350000,221.85101006,0.02130961
1.47550000,220.66750592,0.02118482
1.48750000,219.33864898,0.02099631
1.49950000,218.69344727,0.02068669
1.51150000,216.45609182,0.02050354
1.52350000,218.50911617,0.02027385
1.53550000,216.65330832,0.02015730
1.54750000,212.08288435,0.02024828
1.55950000,215.42870089,0.02043743
1.57150000,219.66843475,0.02064991
1.58350000,218.71220289,0.02075367
1.59550000,220.47815744,0.02085738
1.60750000,218.62289400,0.02112699
1.61950000,216.40950400,0.02133920
1.63150000,215.74383817,0.02146704
1.64350000,213.82225819,0.02159358
1.65550000,211.86412582,0.02154338
1.66750000,208.05743772,0.02127390
1.67950000,198.14279504,0.02103751
1.69150000,195.81981963,0.02069261
1.70350000,195.33608858,0.02041518
1.71550000,196.25654894,0.01999672
1.72750000,193.29775414,0.01986788
1.73950000,194.27818794,0.01978031
1.75150000,198.56242565,0.01966845
1.76350000,197.95144313,0.01965748
1.77550000,199.50849043,0.01977714
1.78750000,199.84657322,0.01987499
1.79950000,201.37671990,0.02001875
1.81150000,199.68358540,0.02021723
1.82350000,198.60748759,0.02045377
1.83550000,200.26432353,0.02062132
1.84750000,197.08144673,0.02070746
1.85950000,194.55009749,0.02081365
1.87150000,197.75065030,0.02103538
1.88350000,205.30274458,0.02125745
1.89550000,208.60448049,0.02147641
1.90750000,212.50292899,0.02166098
1.91950000,214.30998410,0.02181009
1.93150000,218.57755340,0.02196089
1.94350000,215.76905656,0.02199047
1.95550000,212.61447539,0.02196226
1.96750000,214.94245816,0.02202415
1.97950000,209.87580210,0.02184788
1.99150000,210.07552654,0.02168704
2.00350000,207.98057137,0.02141517
2.01550000,201.74740949,0.02135573
2.02750000,197.43480953,0.02127141
2.03950000,186.76258702,0.02110742
2.05150000,186.68481478,0.02103943
2.06350000,189.89171354,0.02102757
2.07550000,187.34692892,0.02106686
2.08750000,186.96450125,0.02114063
2.09950000,184.30514991,0.02113430
2.11150000,184.90013962,0.02113009
2.12350000,183.64233615,0.02133333
2.13550000,181.02587374,0.02133607
2.14750000,182.66977893,0.02140433
2.15950000,186.23222805,0.02155135
2.17150000,185.46712867,0.02154171
2.18350000,188.86241705,0.02154582
2.19550000,186.81133087,0.02145185
2.20750000,185.10674719,0.02166679
2.21950000,183.05683896,0.02169864
2.23150000,184.95241254,0.02184964
2.24350000,188.32408922,0.02196905
2.25550000,188.23698734,0.02212578
2.26750000,185.38503224,0.02232911
2.27950000,188.55868654,0.02259104
2.29150000,190.41377200,0.02266873
2.30350000,192.84118324,0.02298935
2.31550000,191.00480284,0.02325825
2.32750000,188.68574766,0.02333425
2.33950000,189.43505558,0.02347530
2.35150000,187.13690562,0.02372317
2.36350000,184.69243171,0.02376036
2.37550000,179.40552189,0.02375300
2.38750000,174.98789200,0.02354077
2.39950000,170.51215887,0.02327359
2.41150000,165.82156235,0.02295004
2.42350000,160.00587492,0.02274243
2.43550000,153.90086433,0.02264206
2.44750000,145.81412448,0.02258977
2.45950000,137.62833072,0.02238914
2.47150000,133.93276210,0.02220958
2.48350000,125.46083624,0.02224975
2.49550000,120.32806080,0.02233342
2.50750000,115.08889157,0.02236416
2.51950000,113.04289762,0.02251802
2.53150000,111.94466350,0.02269319
2.54350000,107.90103322,0.02297280
2.55550000,103.93454063,0.02290356
2.56750000,98.58839952,0.02281613
2.57950000,98.32166123,0.02260720
2.59150000,97.36155987,0.02249190
2.60350000,98.94585760,0.02236137
2.61550000,101.66165859,0.02201104
2.62750000,105.20001014,0.02218160
2.63950000,105.10135547,0.02193018
2.65150000,106.41302841,0.02195915
2.66350000,108.25341626,0.02205440
2.67550000,108.82350606,0.02210756
2.68750000,110.27859165,0.02205542
2.69950000,109.46745459,0.02204710
2.71150000,107.87082986,0.02201253
2.72350000,106.22555909,0.02197603
2.73550000,104.15637611,0.02156464
2.74750000,102.38907706,0.02131996
2.75950000,100.03745908,0.02112304
2.77150000,100.86078117,0.02085429
2.78350000,100.99781042,0.02052744
2.79550000,104.83297832,0.02024664
2.80750000,106.33125350,0.02003352
2.81950000,106.26818624,0.02016815
2.83150000,104.41532355,0.01997385
2.84350000,104.57230171,0.02021642
2.85550000,105.05746201,0.02035751
2.86750000,101.91220756,0.02022786
2.87950000,99.35197133,0.02045645
2.89150000,97.84460056,0.02072753
2.90350000,96.25014912,0.02106110
2.91550000,95.30823795,0.02122174
2.92750000,95.17490433,0.02128553
2.93950000,95.37753978,0.02150760
2.95150000,94.97022819,0.02169720
2.96350000,96.09209304,0.02192120
